State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,1,2
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,1,1
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,5,40
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sugarcane,0.2,0.5
Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Sugarcane,13.4,41.75
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sugarcane,141,3736
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sugarcane,81,2379
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sugarcane,71.3,1500
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Sugarcane,73.33,889.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Sugarcane,455,13760
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Sugarcane,268,2879.52
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Sugarcane,145.26,1560
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sugarcane,128.02,2448.2
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sugarcane,53.5,999.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Sugarcane,67.5,402
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sugarcane,700,72900
Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Sugarcane,700,65900
Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Sugarcane,884,83126
Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Sugarcane,284,25395
Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Sugarcane,490,42470
Andhra Pradesh,ANANTAPUR,2002,Whole Year ,Sugarcane,329,22481
Andhra Pradesh,ANANTAPUR,2003,Whole Year ,Sugarcane,454,32386
Andhra Pradesh,ANANTAPUR,2004,Whole Year ,Sugarcane,400,34072
Andhra Pradesh,ANANTAPUR,2005,Whole Year ,Sugarcane,227,20612
Andhra Pradesh,ANANTAPUR,2006,Whole Year ,Sugarcane,339,30937
Andhra Pradesh,ANANTAPUR,2008,Whole Year ,Sugarcane,131,12305
Andhra Pradesh,ANANTAPUR,2009,Whole Year ,Sugarcane,112,9968
Andhra Pradesh,ANANTAPUR,2010,Whole Year ,Sugarcane,235,20981
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Sugarcane,410,39186
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Sugarcane,76,6954
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Sugarcane,281,26505
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Sugarcane,30,2456
Andhra Pradesh,CHITTOOR,1997,Kharif     ,Sugarcane,29600,2775100
Andhra Pradesh,CHITTOOR,1998,Whole Year ,Sugarcane,34500,3377000
Andhra Pradesh,CHITTOOR,1999,Whole Year ,Sugarcane,44929,4097998
Andhra Pradesh,CHITTOOR,2000,Whole Year ,Sugarcane,40539,3697441
Andhra Pradesh,CHITTOOR,2001,Whole Year ,Sugarcane,38789,3337250
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Sugarcane,39436,2684685
Andhra Pradesh,CHITTOOR,2003,Whole Year ,Sugarcane,26845,1881888
Andhra Pradesh,CHITTOOR,2004,Whole Year ,Sugarcane,21928,1865393
Andhra Pradesh,CHITTOOR,2005,Whole Year ,Sugarcane,22453,1972429
Andhra Pradesh,CHITTOOR,2006,Whole Year ,Sugarcane,37965,3496956
Andhra Pradesh,CHITTOOR,2007,Whole Year ,Sugarcane,30000,2819000
Andhra Pradesh,CHITTOOR,2008,Whole Year ,Sugarcane,26916,2263880
Andhra Pradesh,CHITTOOR,2009,Whole Year ,Sugarcane,27193,2261081
Andhra Pradesh,CHITTOOR,2010,Whole Year ,Sugarcane,27719,2311342
Andhra Pradesh,CHITTOOR,2011,Whole Year ,Sugarcane,28405,2577106
Andhra Pradesh,CHITTOOR,2012,Kharif     ,Sugarcane,28106,2491232
Andhra Pradesh,CHITTOOR,2013,Kharif     ,Sugarcane,28152,2562925
Andhra Pradesh,CHITTOOR,2014,Kharif     ,Sugarcane,26147,2066986
Andhra Pradesh,EAST GODAVARI,1997,Kharif     ,Sugarcane,15100,1197300
Andhra Pradesh,EAST GODAVARI,1998,Whole Year ,Sugarcane,16400,1254900
Andhra Pradesh,EAST GODAVARI,1999,Whole Year ,Sugarcane,15657,1425465
Andhra Pradesh,EAST GODAVARI,2000,Whole Year ,Sugarcane,14772,1313615
Andhra Pradesh,EAST GODAVARI,2001,Whole Year ,Sugarcane,14255,1282665
Andhra Pradesh,EAST GODAVARI,2002,Whole Year ,Sugarcane,15425,1269570
Andhra Pradesh,EAST GODAVARI,2003,Whole Year ,Sugarcane,16285,1397774
Andhra Pradesh,EAST GODAVARI,2004,Whole Year ,Sugarcane,15965,1356801
Andhra Pradesh,EAST GODAVARI,2005,Whole Year ,Sugarcane,18422,1465857
Andhra Pradesh,EAST GODAVARI,2006,Whole Year ,Sugarcane,18911,1683779
Andhra Pradesh,EAST GODAVARI,2007,Whole Year ,Sugarcane,17000,1488000
Andhra Pradesh,EAST GODAVARI,2008,Whole Year ,Sugarcane,13592,1159182
Andhra Pradesh,EAST GODAVARI,2009,Whole Year ,Sugarcane,10879,1017609
Andhra Pradesh,EAST GODAVARI,2010,Whole Year ,Sugarcane,13051,1086471
Andhra Pradesh,EAST GODAVARI,2011,Whole Year ,Sugarcane,12618,1069560
Andhra Pradesh,EAST GODAVARI,2012,Kharif     ,Sugarcane,13909,1111275
Andhra Pradesh,EAST GODAVARI,2013,Kharif     ,Sugarcane,13857,1165341
Andhra Pradesh,EAST GODAVARI,2014,Kharif     ,Sugarcane,12405,1056420
Andhra Pradesh,GUNTUR,1997,Kharif     ,Sugarcane,1600,109600
Andhra Pradesh,GUNTUR,1998,Whole Year ,Sugarcane,2100,150300
Andhra Pradesh,GUNTUR,1999,Whole Year ,Sugarcane,2229,182780
Andhra Pradesh,GUNTUR,2000,Whole Year ,Sugarcane,1696,135426
Andhra Pradesh,GUNTUR,2001,Whole Year ,Sugarcane,1700,139080
Andhra Pradesh,GUNTUR,2002,Whole Year ,Sugarcane,1738,114932
Andhra Pradesh,GUNTUR,2003,Whole Year ,Sugarcane,1547,110569
Andhra Pradesh,GUNTUR,2004,Whole Year ,Sugarcane,1972,150690
Andhra Pradesh,GUNTUR,2005,Whole Year ,Sugarcane,1953,138788
Andhra Pradesh,GUNTUR,2006,Whole Year ,Sugarcane,1721,135923
Andhra Pradesh,GUNTUR,2007,Whole Year ,Sugarcane,2000,117000
Andhra Pradesh,GUNTUR,2008,Whole Year ,Sugarcane,762,57402
Andhra Pradesh,GUNTUR,2009,Whole Year ,Sugarcane,409,41203
Andhra Pradesh,GUNTUR,2010,Whole Year ,Sugarcane,908,77430
Andhra Pradesh,GUNTUR,2011,Whole Year ,Sugarcane,967,100572
Andhra Pradesh,GUNTUR,2012,Kharif     ,Sugarcane,573,53792
Andhra Pradesh,GUNTUR,2013,Kharif     ,Sugarcane,420,43200
Andhra Pradesh,GUNTUR,2014,Kharif     ,Sugarcane,470,46102
Andhra Pradesh,KADAPA,1997,Kharif     ,Sugarcane,200,19300
Andhra Pradesh,KADAPA,1998,Whole Year ,Sugarcane,400,38200
Andhra Pradesh,KADAPA,1999,Whole Year ,Sugarcane,425,40844
Andhra Pradesh,KADAPA,2000,Whole Year ,Sugarcane,356,32880
Andhra Pradesh,KADAPA,2001,Whole Year ,Sugarcane,674,62755
Andhra Pradesh,KADAPA,2002,Whole Year ,Sugarcane,1063,78516
Andhra Pradesh,KADAPA,2003,Whole Year ,Sugarcane,555,40233
Andhra Pradesh,KADAPA,2004,Whole Year ,Sugarcane,377,33563
Andhra Pradesh,KADAPA,2005,Whole Year ,Sugarcane,922,88323
Andhra Pradesh,KADAPA,2006,Whole Year ,Sugarcane,2056,201081
Andhra Pradesh,KADAPA,2007,Whole Year ,Sugarcane,1000,82000
Andhra Pradesh,KADAPA,2008,Whole Year ,Sugarcane,68,5100
Andhra Pradesh,KADAPA,2009,Whole Year ,Sugarcane,140,12268
